net,length_um
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[3\],7.92
net60,7.92
_0018_,7.905
o_dbus_dat[25],7.81
_0363_,7.78
net186,7.76
_0306_,7.68
_0217_,7.66
_0601_,7.64
_0592_,7.62
cpu.gen_csr.csr.mcause3_0\[2\],7.6
i_dbus_rdt[1],7.59
o_dbus_adr[25],7.57
_0010_,7.565
cpu.gen_csr.csr.mie_mtie,7.56
_0204_,7.52
cpu.state.ibus_cyc,7.48
_0355_,7.42
cpu.immdec.gen_immdec_w_eq_1.imm30_25\[5\],7.42
_0431_,7.34
_0335_,7.32
net200,7.305
_0177_,7.28
_0584_,7.18
_0649_,7.18
o_dbus_adr[16],7.13
i_ibus_rdt[19],7.11
_0232_,7.1
_0158_,7.085
_0383_,7.06
cpu.gen_csr.csr.mcause3_0\[1\],7.06
_0333_,7.04
_0192_,7
_0429_,7
_0129_,6.96
_0502_,6.96
_0595_,6.96
_0406_,6.94
_0057_,6.925
_0081_,6.825
net198,6.805
net188,6.8
_0608_,6.78
_0171_,6.765
_0582_,6.76
_0233_,6.74
_0165_,6.685
_0040_,6.645
_0513_,6.64
_0199_,6.6
_0234_,6.6
_0253_,6.6
_0398_,6.6
_0427_,6.6
_0501_,6.6
_0551_,6.6
_0136_,6.565
_0341_,6.54
_0224_,6.52
_0478_,6.5
_0157_,6.465
o_dbus_adr[14],6.45
o_dbus_adr[21],6.45
i_dbus_rdt[25],6.43
cpu.bufreg2.i_bytecnt\[1\],6.38
_0003_,6.365
cpu.ctrl.pc_plus_4_cy_r,6.36
_0238_,6.32
_0330_,6.32
_0537_,6.3
_0634_,6.3
_0082_,6.265
_0507_,6.26
_0047_,6.225
_0070_,6.225
o_dbus_dat[15],6.21
o_dbus_dat[17],6.21
o_waddr[2],6.21
_0544_,6.2
_0014_,6.185
_0115_,6.18
_0214_,6.18
_0409_,6.18
_0597_,6.18
_0353_,6.17
_0075_,6.165
_0571_,6.16
_0228_,6.14
o_ibus_adr[3],6.11
_0143_,6.04
_0005_,6.025
_0054_,6.005
_0168_,6.005
_0528_,5.98
i_ibus_rdt[7],5.97
_0067_,5.865
_0440_,5.86
_0585_,5.86
cpu.gen_csr.csr.mcause3_0\[3\],5.86
net202,5.86
i_ibus_rdt[11],5.85
i_ibus_rdt[25],5.85
_0633_,5.78
o_ibus_adr[14],5.77
_0038_,5.765
_0127_,5.765
_0221_,5.74
_0227_,5.74
_0243_,5.74
_0308_,5.74
_0392_,5.74
_0451_,5.74
_0482_,5.74
_0554_,5.74
_0231_,5.72
_0315_,5.72
_0351_,5.72
_0599_,5.72
_0605_,5.72
_0632_,5.72
net203,5.72
_0071_,5.645
_0465_,5.6
_0384_,5.58
_0578_,5.58
_0060_,5.545
_0130_,5.545
o_raddr[8],5.53
i_dbus_rdt[7],5.51
_0586_,5.505
_0020_,5.465
_0051_,5.435
_0477_,5.4
_0352_,5.38
_0480_,5.38
rf_ram_if.wdata1_r\[1\],5.38
_0399_,5.36
_0046_,5.345
_0096_,5.34
_0488_,5.34
i_dbus_rdt[8],5.31
_0091_,5.305
_0166_,5.305
i_dbus_rdt[19],5.29
i_ibus_rdt[18],5.29
i_ibus_rdt[20],5.29
o_ibus_adr[18],5.29
o_waddr[3],5.29
_0193_,5.28
_0126_,5.26
_0244_,5.26
_0602_,5.24
_0188_,5.22
_0225_,5.22
_0643_,5.22
net187,5.22
i_dbus_rdt[10],5.19
o_dbus_adr[15],5.19
o_dbus_adr[22],5.19
o_wdata[1],5.19
_0006_,5.185
_0141_,5.185
_0159_,5.16
