net,length_um
rf_ram_if.wdata1_r\[2\],9.16
net204,9.085
_0138_,9.06
o_dbus_dat[6],9.06
_0378_,9.05
_0645_,9.045
_0366_,9.04
_0245_,9.02
_0085_,8.985
_0036_,8.98
_0244_,8.96
_0553_,8.96
o_dbus_adr[11],8.96
o_dbus_dat[14],8.96
o_dbus_dat[16],8.96
o_ibus_adr[12],8.96
o_ibus_adr[17],8.96
o_ibus_adr[1],8.96
o_ibus_adr[21],8.96
o_ibus_adr[7],8.96
net269,8.945
_0352_,8.94
o_dbus_dat[15],8.93
_0377_,8.9
_0427_,8.9
net186,8.9
net240,8.9
_0451_,8.88
_0592_,8.82
_0120_,8.8
_0234_,8.8
_0583_,8.8
_0173_,8.795
_0230_,8.76
i_ibus_rdt[21],8.73
i_ibus_rdt[17],8.72
i_ibus_rdt[26],8.72
i_ibus_rdt[28],8.72
i_ibus_rdt[2],8.72
i_rdata[0],8.72
rf_ram_if.wdata1_r\[0\],8.7
_0571_,8.62
_0635_,8.62
_0600_,8.6
net254,8.6
_0595_,8.56
net60,8.56
_0560_,8.54
_0303_,8.52
o_dbus_adr[12],8.5
_0616_,8.48
_0164_,8.405
_0124_,8.365
_0238_,8.36
net271,8.34
_0347_,8.335
_0469_,8.32
_0126_,8.285
_0088_,8.26
i_dbus_rdt[13],8.26
o_dbus_adr[3],8.25
o_dbus_adr[8],8.25
_0013_,8.225
_0094_,8.225
cpu.state.o_cnt\[2\],8.2
_0552_,8.14
_0582_,8.1
o_dbus_dat[0],8.04
o_dbus_dat[20],8.04
o_dbus_dat[26],8.04
o_dbus_dat[8],8.04
o_ibus_adr[15],8.04
o_ibus_adr[20],8.04
o_raddr[1],8.04
o_raddr[5],8.04
_0357_,8
_0011_,7.94
_0091_,7.94
_0183_,7.94
_0475_,7.94
_0141_,7.92
_0243_,7.9
_0072_,7.845
_0155_,7.805
_0029_,7.78
_0025_,7.765
_0320_,7.7
_0249_,7.68
_0348_,7.62
_0081_,7.605
o_dbus_adr[28],7.57
o_dbus_adr[6],7.57
o_dbus_dat[24],7.57
_0055_,7.56
_0227_,7.56
_0118_,7.545
_0194_,7.52
_0200_,7.52
_0341_,7.52
_0450_,7.52
cpu.bufreg2.i_bytecnt\[1\],7.52
net253,7.485
_0422_,7.48
_0578_,7.42
_0134_,7.345
net99,7.34
net208,7.32
cpu.ctrl.pc_plus_offset_cy_r,7.3
net267,7.265
_0380_,7.24
_0210_,7.22
cpu.state.ibus_cyc,7.2
_0049_,7.185
cpu.gen_csr.csr.mcause3_0\[3\],7.18
_0070_,7.145
_0204_,7.14
_0235_,7.06
_0297_,7.06
_0612_,7.06
_0022_,7
net277,7
_0037_,6.985
_0529_,6.98
net258,6.9
net262,6.9
o_wdata[1],6.89
_0133_,6.885
